timestamp,af,al,aposm,aposw,arf,bf,bl,bposm,bposw,brf,cf,cl,cposm,cposw,cs,ctemp,sl,rf,atime,ctime,yltime,estop,pltnum,concentration,cooltemp,avail,d1_asset_chg,d1_asset_rem,functionalmode,door,pf,Sovr,exec,ln,mode,pc,pcmt,peditmode,peditname,pfo,pfr,pgm,seq,spcmt,spgm,tid,tid2,tid3,unit,xf,xl,xpm,xpw,yf,yl,ypm,ypw,zf,zl,zpm,zpw,
2023-07-24T14:54:30.547868Z,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547584Z,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547541Z,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:28.870369Z,,,-0,,,,,-0,,,,,,,0,,,,,,,ARMED,,,,AVAILABLE,,,,,,,READY,0,MDI,,,,,100.0,,"/SYSROOT/HOME/POCKETNC/NCFILES/SPIRAL,PART.NGC",,,,10,,,,,,2.5,,,,2.5,,,,-0,,
2023-07-24T14:54:30.547526Z,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547463Z,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547517Z,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547662Z,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547883Z,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.54748Z,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547471Z,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547699Z,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547735Z,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547814Z,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547675Z,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547627Z,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547692Z,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547728Z,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547669Z,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547447Z,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547754Z,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547424Z,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.54789Z,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547396Z,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547857Z,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547164Z,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.548104Z,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.548164Z,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.548194Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.548097Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547914Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547807Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547876Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.54814Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:16.259045Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:16.488611Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:16.590077Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:16.756473Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:16.890307Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:19.154071Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:19.25962Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:19.406442Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:19.5052Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:20.14933Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:20.212325Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:21.484259Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:21.585168Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:21.830228Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:21.930222Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:25.700521Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:25.802119Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:26.341298Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:41.22562Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:41.303106Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:41.345062Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.54811Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:42.738594Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:50.707141Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:53.785268Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:58.891145Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:56:03.270245Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:56:03.654091Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:56:06.806576Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547534Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:41.251493Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.548128Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547592Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547995Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547897Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547927Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547706Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,
