a,b,x,y,z
0,0,2.5,2.5,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,-90,0,0,0
0,0,0,0,0
0,0,0.6927,-1.531,-0.1012
0,0,0.6927,-1.531,-0.1012
0,0,0,0,0
0,-90,0.6927,-1.531,-0.1012
0,0,0.6563,0,-0.0958
0,0,0.5756,0,0
0,0,0.4956,0,0
0,0,0.4915,0,-0.0953
0,0,0.4874,0,-0.0935
0,0,0.4838,0,-0.0905
0,0,0.4812,0,-0.0865
0,0,0.48,0,-0.0822
0,0,0,0,-0.078
0,-86.855,0.4836,0,-0.0515
0,-84.057,0.4855,0,-0.0279
0,-81.542,0.4862,0,-0.0066
0,-79.017,0.4861,0,0.0149
0,-75.95,0.4846,0,0.0409
0,-73.119,0.482,0,0.0647
0,-70.896,0.479,0,0.0834
0,-68.419,0.475,0,0.104
0,-65.063,0.4681,0,0.1317
0,-61.53,0.4591,0,0.1603
0,-57.897,0.4481,0,0.189
0,-54.283,0.4352,0,0.2169
0,-50.668,0.4207,0,0.2439
0,-47.858,0.4082,0,0.2642
0,-45.357,0.3963,0,0.2818
0,-42.846,0.3836,0,0.2989
0,-40.051,0.3686,0,0.3172
0,-37.545,0.3544,0,0.3331
0,-35.03,0.3394,0,0.3483
0,-32.235,0.322,0,0.3644
0,-29.951,0.3072,0,0.3769
0,-27.781,0.2927,0,0.3883
0,-24.427,0.2695,0,0.4048
0,-21.058,0.2453,0,0.4199
0,-18.737,0.228,0,0.4294
0,-16.6,0.2119,0,0.4377
0,-13.247,0.1859,0,0.4493
0,-9.893,0.1593,0,0.4595
0,-6.543,0.1322,0,0.468
0,-2.921,0.1024,0,0.4754
0,0.421,0.0745,0,0.4806
0,3.496,0.0486,0,0.4839
0,6.849,0.0202,0,0.4859
0,10.207,-0.0083,0,0.4862
0,13.014,-0.0321,0,0.4852
0,15.515,-0.0532,0,0.4834
0,18.029,-0.0744,0,0.4806
0,20.537,-0.0953,0,0.4769
0,23.193,-0.1173,0,0.4719
0,25.562,-0.1367,0,0.4667
0,28.079,-0.1571,0,0.4602
0,31.162,-0.1816,0,0.4511
0,33.147,-0.1971,0,0.4445
0,35.625,-0.2162,0,0.4356
0,39.245,-0.2433,0,0.4211
0,42.615,-0.2676,0,0.4061
0,44.608,-0.2815,0,0.3964
0,47.069,-0.2983,0,0.384
0,50.695,-0.322,0,0.3644
0,54.073,-0.3429,0,0.3448
0,56.068,-0.3546,0,0.3326
0,58.503,-0.3685,0,0.3173
0,62.139,-0.3879,0,0.2933
0,65.756,-0.4056,0,0.2682
0,69.394,-0.4218,0,0.2419
0,72.209,-0.4332,0,0.2209
0,74.703,-0.4424,0,0.2019
0,77.222,-0.4509,0,0.1822
0,79.736,-0.4584,0,0.1623
0,82.258,-0.4651,0,0.1419
0,84.762,-0.4709,0,0.1215
